State,State/Tribal/Other,Agency,Unit/Office,Violent crime,Murder and nonnegligent manslaughter,Rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson
Alabama,Tribal Agencies,Poarch Creek Tribal,,10,0,0,5,5,398,6,377,15,0
Alaska,State Agencies,Alaska State Troopers,,"1,369",23,278,65,"1,003","2,985","1,073","1,446",466,47
Alaska,Tribal Agencies,Metlakatla Tribal,,0,0,0,0,0,0,0,0,0,0
Alaska,Other Agencies,Fairbanks International Airport,,1,0,0,0,1,16,0,14,2,0
Alaska,Other Agencies,Ted Stevens Anchorage International Airport,,6,0,0,0,6,107,8,83,16,0
Arizona,Tribal Agencies,Ak-Chin Tribal,,2,0,0,0,2,7,2,4,1,0
Arizona,Tribal Agencies,Cocopah Tribal,,9,0,0,0,9,7,0,5,2,0
Arizona,Tribal Agencies,Fort McDowell Tribal,,11,0,0,1,10,26,3,19,4,
Arizona,Tribal Agencies,Fort Mojave Tribal,,11,0,0,1,10,14,1,11,2,
Arizona,Tribal Agencies,Kaibab Paiute Tribal,,1,0,0,0,1,0,0,0,0,0
Arizona,Tribal Agencies,Navajo Nation,,"2,171",20,193,17,"1,941",957,260,351,346,41
Arizona,Tribal Agencies,Pascua Yaqui Tribal,,20,1,0,1,18,271,23,231,17,0
Arizona,Tribal Agencies,Salt River Tribal,,351,1,5,9,336,653,89,528,36,3
Arizona,Tribal Agencies,San Carlos Apache,,759,1,14,7,737,373,186,165,22,36
Arizona,Tribal Agencies,Tonto Apache Tribal,,2,0,0,0,2,13,1,12,0,0
Arizona,Tribal Agencies,Truxton Canon Agency,,13,0,0,0,13,0,0,0,0,0
Arizona,Tribal Agencies,White Mountain Apache Tribal,,395,1,35,4,355,412,130,267,15,37
Arizona,Tribal Agencies,Yavapai-Apache Nation,,7,0,0,1,6,4,0,4,0,0
Arizona,Tribal Agencies,Yavapai-Prescott Tribal,,4,0,0,0,4,104,1,101,2,0
Arizona,Other Agencies,Tucson Airport Authority,,1,0,0,0,1,52,4,12,36,0
Arkansas,State Agencies,Camp Robinson,,1,0,0,0,1,7,1,5,1,0
Arkansas,State Agencies,State Capitol Police,,0,0,0,0,0,44,6,38,0,0
Arkansas,Other Agencies,Northwest Arkansas Regional Airport,,1,0,1,0,0,33,0,27,6,0
California,State Agencies,Atascadero State Hospital,,43,0,0,0,43,1,1,0,0,0
California,California State Fair,,,5,0,1,2,2,49,5,41,3,0
California,Coalinga State Hospital,,,202,0,3,0,199,11,1,10,0,1
California,Department of Parks and Recreation:,Angeles,,2,0,1,0,1,22,0,22,0,0
California,Department of Parks and Recreation:,Bay Area,,0,0,0,0,0,0,0,0,0,0
California,Department of Parks and Recreation:,Calaveras County,,0,0,0,0,0,4,4,0,0,0
California,Department of Parks and Recreation:,Capital,,5,0,0,0,5,3,0,2,1,0
California,Department of Parks and Recreation:,Channel Coast,,0,0,0,0,0,64,5,59,0,0
California,Department of Parks and Recreation:,Colorado,,0,0,0,0,0,1,1,0,0,0
California,Department of Parks and Recreation:,Four Rivers District,,0,0,0,0,0,3,3,0,0,0
California,Department of Parks and Recreation:,Gold Fields District,,4,0,2,1,1,31,0,31,0,0
California,Department of Parks and Recreation:,Hollister Hills,,0,0,0,0,0,0,0,0,0,0
California,Department of Parks and Recreation:,Hungry Valley,,1,0,0,0,1,0,0,0,0,0
California,Department of Parks and Recreation:,Inland Empire,,1,0,0,0,1,2,0,2,0,0
California,Department of Parks and Recreation:,Marin County,,1,0,0,0,1,10,7,3,0,0
California,Department of Parks and Recreation:,Monterey County,,0,0,0,0,0,24,7,15,2,0
California,Department of Parks and Recreation:,North Coast Redwoods,,0,0,0,0,0,40,0,40,0,0
California,Department of Parks and Recreation:,Northern Buttes,,1,0,0,0,1,7,2,5,0,0
California,Department of Parks and Recreation:,Oceano Dunes,,2,0,0,1,1,35,2,31,2,1
California,Department of Parks and Recreation:,Ocotillo Wells,,1,0,0,0,1,0,0,0,0,0
California,Department of Parks and Recreation:,Orange Coast,,0,0,0,0,0,147,102,45,0,0
California,Department of Parks and Recreation:,San Diego Coast,,13,0,0,1,12,59,1,57,1,0
California,Department of Parks and Recreation:,San Joaquin,,3,0,0,0,3,5,1,4,0,0
California,Department of Parks and Recreation:,San Luis Obispo Coast,,0,0,0,0,0,22,0,21,1,0
California,Department of Parks and Recreation:,Santa Cruz Mountains,,0,0,0,0,0,118,0,116,2,0
California,Department of Parks and Recreation:,Sierra,,0,0,0,0,0,17,0,17,0,0
California,Department of Parks and Recreation:,Sonoma,,0,0,0,0,0,0,0,0,0,0
California,Department of Parks and Recreation:,Sonoma-Mendocino Coast,,1,0,0,1,0,19,2,17,0,0
California,Department of Parks and Recreation:,Tehachapi District,,0,0,0,0,0,3,1,1,1,0
California,Department of Parks and Recreation:,Twin Cities,,0,0,0,0,0,1,0,1,0,0
California,Fairview Developmental Center,,,1,0,0,0,1,0,0,0,0,0
California,Highway Patrol:,Alameda County,,0,0,0,0,0,207,0,40,167,0
California,Highway Patrol:,Alpine County,,0,0,0,0,0,3,1,1,1,0
California,Highway Patrol:,Amador County,,0,0,0,0,0,31,0,15,16,0
California,Highway Patrol:,Butte County,,1,0,0,0,1,230,1,95,134,0
California,Highway Patrol:,Calaveras County,,0,0,0,0,0,92,0,47,45,0
California,Highway Patrol:,Colusa County,,6,0,0,0,6,24,0,3,21,0
California,Highway Patrol:,Contra Costa County,,0,0,0,0,0,487,0,40,447,0
California,Highway Patrol:,Del Norte County,,2,0,0,0,2,69,0,40,29,0
California,Highway Patrol:,El Dorado County,,0,0,0,0,0,134,1,99,34,0
California,Highway Patrol:,Fresno County,,0,0,0,0,0,152,0,22,130,0
California,Highway Patrol:,Glenn County,,3,0,0,0,3,30,0,9,21,0
California,Highway Patrol:,Humboldt County,,1,0,0,0,1,317,1,105,211,0
California,Highway Patrol:,Imperial County,,1,0,0,0,1,66,1,24,41,0
California,Highway Patrol:,Inyo County,,0,0,0,0,0,18,0,5,13,0
California,Highway Patrol:,Kern County,,3,1,0,0,2,238,1,40,197,0
California,Highway Patrol:,Kings County,,0,0,0,0,0,85,0,14,71,0
California,Highway Patrol:,Lake County,,1,1,0,0,0,173,0,38,135,0
California,Highway Patrol:,Lassen County,,0,0,0,0,0,39,0,9,30,0
