State,Violent crime,Murder and nonnegligent manslaughter,Rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson
Alabama,10,0,0,5,5,398,6,377,15,0
Alaska,1369,23,278,65,1003,2985,1073,1446,466,47
Arizona,2,0,0,0,2,7,2,4,1,0
Arkansas,1,0,0,0,1,7,1,5,1,0
California,43,0,0,0,43,1,1,0,0,0
Colorado,0,0,0,0,0,1,0,0,1,0
Connecticut,237,9,67,34,127,1717,365,1060,292,13
Delaware,0,0,0,0,0,1,0,1,0,0
District of Columbia,0,0,0,0,0,0,0,0,0,159
Florida,0,0,0,0,0,14,2,11,1,0
Georgia,0,0,0,0,0,0,0,0,0,0
Idaho,38,9,5,0,24,10,2,3,5,0
Indiana,1,0,0,0,1,6,0,6,0,0
Kansas,0,0,0,0,0,17,3,14,0,0
Kentucky,0,0,0,0,0,0,0,0,0,0
Maine,0,0,0,0,0,2,0,2,0,0
Maryland,0,0,0,0,0,0,0,0,0,0
Massachusetts,9,0,0,0,9,9,2,5,2,0
Michigan,1,0,0,0,1,7,0,6,1,1
Minnesota,0,0,0,0,0,0,0,0,0,0
Mississippi,165,2,5,0,158,178,17,161,0,2
Missouri,0,0,0,0,0,21,0,20,1,0
Montana,332,0,16,0,316,125,28,47,50,2
Nebraska,7,1,0,0,6,4,1,3,0,0
Nevada,14,0,1,0,13,64,22,26,16,0
New Hampshire,1,0,0,1,0,50,0,50,0,0
New Jersey,80,3,0,0,77,0,0,0,0,0
New Mexico,17,0,1,3,13,23,4,13,6,0
New York,30,0,22,3,5,120,3,116,1,0
North Carolina,8,0,4,0,4,12,2,10,0,2
North Dakota,11,0,0,0,11,21,0,3,18,0
Ohio,31,2,3,0,26,283,16,259,8,4
Oklahoma,0,0,0,0,0,0,0,0,0,0
Oregon,3,0,1,0,2,5,0,4,1,2
Pennsylvania,0,0,0,0,0,0,0,0,0,0
Puerto Rico,6479,606,215,2121,3537,22441,4291,14483,3667,0
Rhode Island,0,0,0,0,0,13,0,12,1,1
South Carolina,1,0,0,0,1,3,0,3,0,0
South Dakota,5,0,0,0,5,18,0,10,8,0
Tennessee,0,0,0,0,0,0,0,0,0,0
Texas,5,0,0,0,5,61,0,57,4,0
Utah,3,1,1,0,1,25,3,19,3,1
Vermont,0,0,0,0,0,5,0,5,0,0
Virginia,0,0,0,0,0,24,1,23,0,0
Washington,0,0,0,0,0,6,0,6,0,0
West Virginia,0,0,0,0,0,0,0,0,0,0
Wisconsin,0,0,0,0,0,9,0,9,0,0
Wyoming,78,1,21,0,56,90,16,38,36,1
