Name,FighterId,WeightClass,BirthDate,Height,Weight,Reach,Wins,Losses,Draws,NoContests,TechnicalKnockouts,TechnicalKnockoutLosses,Submissions,SubmissionLosses,TitleWins,TitleLosses,TitleDraws,SigStrikesLandedPerMinute,SigStrikeAccuracy,TakedownAverage,SubmissionAverage,StrikeFinishPercentage,TechnicalKnockoutPercentage,DecisionPercentage,WorkAverage
Ray Borg,140000226,Bantamweight,1993-08-04T00:00:00,64.0,135.0,63.0,13,5,0,0,2,0,14,2,0,2,0,3.7,98.7,9.3,2.5,0.0,0.0,43.1,86.025
Lyman Good,140000048,Welterweight,1985-05-26T00:00:00,72.0,170.0,74.0,21,6,0,1,6,0,2,1,2,1,0,3.0,36.6,0.2,0.0,6.0,6.0,0.0,0.0
Glover Teixeira,140000015,Light Heavyweight,1979-10-28T00:00:00,74.0,205.0,76.0,33,7,0,0,17,3,8,0,1,1,0,3.2,54.2,1.8,0.9,16.1,16.1,6.4,5.184000000000001
Chris Gutierrez,140000200,Bantamweight,1991-04-22T00:00:00,69.0,135.0,67.0,17,3,2,0,10,0,2,2,0,0,0,10.3,90.6,1.1,0.4,10.1,10.1,27.1,4.532000000000001
Ashley Yoder,140000415,Women's Strawweight,1987-10-20T00:00:00,67.0,116.0,69.0,8,8,0,0,0,0,4,0,0,0,0,3.1,53.0,1.2,0.6,0.0,0.0,18.7,2.2319999999999998
Charles Byrd,140000129,Middleweight,1983-10-11T00:00:00,70.0,185.0,73.0,10,7,0,0,1,1,1,0,0,0,0,0.8,26.4,0.6,0.3,0.0,0.0,0.0,0.144
Trevin Jones,140001010,Bantamweight,1990-08-04T00:00:00,67.0,135.0,70.0,13,7,0,1,1,0,1,1,0,0,0,0.8,39.3,0.4,0.0,1.7,1.7,0.0,0.0
Geraldo de Freitas,140000031,Bantamweight,1991-09-30T00:00:00,67.0,136.0,72.0,12,6,0,0,2,0,3,0,0,0,0,2.3,46.2,1.8,0.0,0.0,0.0,3.4,0.0
Jake Collier,140000902,Light Heavyweight,1988-10-25T00:00:00,75.0,264.0,78.0,12,6,0,0,3,2,2,1,1,0,0,3.1,34.5,0.3,0.2,3.2,3.2,12.6,0.186
Ryan Spann,140000343,Light Heavyweight,1991-08-24T00:00:00,77.0,206.0,79.0,19,7,0,0,6,4,12,2,1,2,0,4.2,51.2,2.0,2.0,9.5,9.5,9.5,16.8
Anthony Birchak,140001083,Bantamweight,1986-05-16T00:00:00,68.0,135.0,69.0,16,8,0,0,8,3,12,5,2,0,0,6.1,59.2,0.7,0.7,6.5,6.5,6.5,2.9889999999999994
Roman Dolidze,140000923,Light Heavyweight,1988-07-15T00:00:00,74.0,185.0,76.0,9,1,0,0,1,0,1,0,0,0,0,0.7,33.3,0.8,0.4,2.9,2.9,10.8,0.22399999999999998
Eddie Wineland,140000390,Bantamweight,1984-06-26T00:00:00,67.0,135.0,69.0,24,15,1,0,2,1,1,0,0,0,0,0.4,10.2,0.0,0.0,2.2,2.2,0.8,0.0
Ed Herman,140000354,Light Heavyweight,1980-10-02T00:00:00,73.0,205.0,77.0,27,15,0,1,14,6,21,12,0,2,0,6.5,86.6,4.2,2.2,13.1,13.1,13.1,60.06000000000001
Darren Stewart,140000392,Middleweight,1990-12-30T00:00:00,72.0,204.0,74.0,12,8,0,2,9,1,1,3,0,0,0,4.0,60.4,2.3,0.2,10.4,10.4,10.4,1.8399999999999999
Ben Sosoli,140000573,Heavyweight,1989-12-10T00:00:00,72.0,264.0,72.5,7,3,0,2,15,2,0,0,0,0,0,5.7,49.2,0.0,0.0,0.0,0.0,0.0,0.0
Michelle Waterson,140000240,Women's Strawweight,1986-01-06T00:00:00,63.0,125.0,62.0,18,9,0,0,6,2,12,6,2,2,0,6.6,75.4,2.6,1.4,0.0,0.0,20.1,24.023999999999997
Ode' Osbourne,140000479,Bantamweight,1992-01-09T00:00:00,67.0,125.0,73.0,10,4,0,1,2,0,2,1,0,0,0,2.0,31.4,0.5,0.2,2.8,2.8,2.8,0.2
Makwan Amirkhani,140000385,Featherweight,1988-11-08T00:00:00,70.0,146.0,72.0,16,7,0,0,2,5,17,2,0,0,0,3.2,79.8,9.6,2.6,10.2,10.2,13.3,79.872
Victoria Leonardo,140001079,Women's Flyweight,1990-02-16T00:00:00,65.0,125.0,64.0,8,5,0,0,0,1,2,0,0,0,0,1.7,32.6,0.7,0.0,3.4,3.4,0.0,0.0
Vanessa Demopoulos,140000971,Women's Strawweight,1988-09-22T00:00:00,62.0,125.0,59.5,6,4,0,0,2,0,5,0,2,2,0,5.0,59.0,0.0,1.6,0.0,0.0,0.0,0.0
