FighterId,FirstName,LastName,Nickname,WeightClass,BirthDate,Height,Weight,Reach,Wins,Losses,Draws,NoContests,TechnicalKnockouts,TechnicalKnockoutLosses,Submissions,SubmissionLosses,TitleWins,TitleLosses,TitleDraws,SigStrikesLandedPerMinute,SigStrikeAccuracy,TakedownAverage,SubmissionAverage,KnockoutPercentage,TechnicalKnockoutPercentage,DecisionPercentage
140000992,Chris,Daukaus,,Heavyweight,1989-09-25T00:00:00,75.0,231.0,76.0,12,3,0,0,13,3,0,1,0,0,0,10.9,65.9,0.0,0.0,32.1,32.1,0.0
140000735,Brett,Johns,The Pikey,Bantamweight,1992-02-21T00:00:00,67.0,135.0,71.0,17,3,0,0,1,0,4,0,1,0,0,2.0,53.7,3.4,0.7,0.0,0.0,13.2
140000485,Raquel,Pennington,Rocky,Women's Bantamweight,1988-09-05T00:00:00,67.0,135.0,67.0,12,9,0,0,0,0,1,0,0,0,0,0.8,27.5,0.3,0.2,0.0,0.0,16.1
140000613,Brandon,Moreno,The Assassin Baby,Flyweight,1993-12-07T00:00:00,67.0,125.0,70.0,19,5,2,0,1,0,5,0,1,0,1,1.5,32.4,0.9,0.3,1.7,1.7,5.1
140000268,Magomed,Mustafaev,The Sniper,Lightweight,1988-08-02T00:00:00,68.0,156.0,71.0,14,4,0,0,17,0,11,6,0,0,0,7.2,107.4,9.2,1.1,18.6,18.6,0.0
140000736,Chase,Sherman,The Vanilla Gorilla,Heavyweight,1989-11-16T00:00:00,76.0,256.0,78.0,15,8,0,0,24,12,0,0,0,0,0,10.8,82.6,0.0,0.0,15.0,15.0,13.0
140000267,Max,Holloway,Blessed,Featherweight,1991-12-04T00:00:00,71.0,145.0,69.0,23,6,0,0,8,0,2,1,4,2,0,5.7,42.9,0.2,0.3,24.2,24.2,24.2
140000380,Lina,Lansberg,Elbow Queen,Women's Bantamweight,1982-03-13T00:00:00,67.0,135.0,65.5,10,5,0,0,5,4,0,0,0,0,0,3.5,74.1,0.9,0.2,0.0,0.0,29.8
140000334,Raoni,Barcelos,,Bantamweight,1987-05-01T00:00:00,67.0,135.0,67.0,16,2,0,0,12,0,4,2,7,0,0,11.8,84.8,3.9,1.3,16.4,16.4,16.4
140000495,Sean,Woodson,The Sniper,Featherweight,1992-06-07T00:00:00,74.0,145.0,78.0,9,1,0,0,5,0,2,2,0,0,0,9.2,66.8,0.0,0.9,25.3,25.3,25.3
140000094,Cynthia,Calvillo,,Women's Flyweight,1987-07-13T00:00:00,64.0,126.0,64.0,9,4,1,0,1,1,2,0,0,0,0,2.1,31.4,0.9,0.5,0.0,0.0,15.2
140000584,Khadis,Ibragimov,,Light Heavyweight,1995-05-21T00:00:00,75.0,205.0,78.5,8,4,0,0,0,0,1,0,0,0,0,0.8,23.1,0.2,0.1,0.0,0.0,0.0
140000120,Michal,Oleksiejczuk,Lord,Light Heavyweight,1995-02-22T00:00:00,72.0,206.0,74.0,16,4,0,1,14,2,2,5,0,0,0,7.7,74.6,1.0,0.0,18.1,18.1,7.6
140000630,Robert,Whittaker,The Reaper,Middleweight,1990-12-20T00:00:00,72.0,186.0,73.0,24,5,0,0,1,0,1,0,0,0,0,0.5,14.8,0.1,0.0,1.9,1.9,10.2
